"Part";"Value";"Device";"Package";"Description";"DIGIEKY#";"DIGIKEY";"DIGIKEY#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTNUM";
"C1";"33pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"box";"";"";"";"";"";
"C2";"330uF";"C-POL-TANT";"C_2917_POL";"";"";"";"478-1811-1-ND";"";"";"";"";"";
"C3";"0.01uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"490-1512-1-ND";"";"";"";"";"";
"C4";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C5";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C6";"0.01uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"490-1512-1-ND";"";"";"";"";"";
"C7";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C8";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C9";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C10";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"1276-1000-1-ND";"";"";"";"";"";
"C11";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"1276-1000-1-ND";"";"";"";"";"";
"C12";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"1276-1000-1-ND";"";"";"";"";"";
"C13";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"1276-1000-1-ND";"";"";"";"";"";
"C14";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"478-6200-1-ND";"";"";"";"";"";
"C15";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"478-6200-1-ND";"";"";"";"";"";
"C16";"0.01uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"490-1512-1-ND";"";"";"";"";"";
"C17";"4700pf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"box";"";"";"";"";"";
"C18";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"587-2984-1-ND";"";"";"";"";"";
"C19";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C20";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C21";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"1276-1000-1-ND";"";"";"";"";"";
"C22";"270pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"box";"";"";"";"";"";
"C23";"150uF DNP";"T530X157M016ATE015";"C2917";"";"";"";"";"";"";"";"";"399-4663-1-ND";
"C24";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-3246-1-ND";"";"";"";"";"";
"C25";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C26";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C27";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"1276-1000-1-ND";"";"";"";"";"";
"C30";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-3246-1-ND";"";"";"";"";"";
"C31";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-2399-1-ND";"";"";"";"";"";
"C32";"0.1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"box";"";"";"";"";"";
"C33";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-3246-1-ND";"";"";"";"";"";
"C34";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-3246-1-ND";"";"";"";"";"";
"C35";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-3246-1-ND";"";"";"";"";"";
"C36";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"587-3246-1-ND";"";"";"";"";"";
"C37";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"490-1524-1-ND";"";"";"";"";"";
"C38";"0.47uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"1276-2966-1-ND";"";"";"";"";"";
"C39";"0.47uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"1276-2966-1-ND";"";"";"";"";"";
"C40";"0.47uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"1276-2966-1-ND";"";"";"";"";"";
"C41";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"490-1524-1-ND";"";"";"";"";"";
"C42";"470uF";"C-POL-AL-8-22";"EH22-9";"";"P14440-ND";"";"";"";"";"";"";"";
"C43";"470uF";"C-POL-AL-8-22";"EH22-9";"";"P14440-ND";"";"";"";"";"";"";"";
"D1";"PDS760";"PDS760";"PDS760";"";"";"";"PDS760DICT-ND";"";"";"";"";"";
"IC3";"PINTO_SMD";"PINTO_SMD";"PINTO_SMD";"";"";"";"S5641-ND (6)";"";"";"";"";"";
"J7";"MA04-1";"MA04-1";"MA-04-SMD";"";"";"";"455-1751-1-ND";"";"";"";"";"";
"J9";"POWER_CONN";"POWER_CONN";"POWER_CONN";"";"";"A30614-ND";"";"";"";"";"";"";
"L2";"10uH";"DRQ125";"DRQ125";"";"";"";"";"";"";"";"";"513-1289-1-ND";
"LED1";"GREEN";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"";"1080-1405-1-ND";"";"";"";"";"";
"LED2";"GREEN";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"";"1080-1405-1-ND";"";"";"";"";"";
"LED3";"GREEN";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";"";"1080-1405-1-ND";"";"";"";"";"";
"LED_M0";"GREEN";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"350-2044-1-ND";"";"";"";"";"";
"LED_M1";"GREEN";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"350-2044-1-ND";"";"";"";"";"";
"LED_M2";"GREEN";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"350-2044-1-ND";"";"";"";"";"";
"LED_M3";"GREEN";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"350-2044-1-ND";"";"";"";"";"";
"Q1";"CRYSTAL_16MHZ_SMD";"CRYSTAL_16MHZ_SMD";"4-SMD_DFN";"";"";"";"XC1137CT-ND";"";"";"";"";"";
"Q2";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"BSS84CT-ND";"";"";"";"";"";
